,open,high,low,adjusted close,volume,RSI_14,STO_14,CHO,returns
2010-10-19,70.4,70.41,68.94,69.26,1029808,51.777691283463156,22.310756972111726,311030.6153929755,-0.02587904360056248
2010-10-20,69.69,70.02,68.96,69.8,344643,55.210821104615746,43.824701195219056,258695.6568417698,0.007796708056598156
2010-10-21,69.57,70.1,68.22,69.1,470905,50.219624764707284,0.0,204204.2794623822,-0.01002865329512903
2010-10-22,69.69,69.69,68.22,68.72,510692,47.69871463132448,0.0,111394.81179545075,-0.005499276410998455
2010-10-25,69.11,69.45,68.73,69.1,256400,50.381068033734046,15.261044176706676,65566.66283918545,0.005529685681024299
2010-10-26,68.6,70.15,68.4,70.15,348596,56.950950318540585,57.4297188755024,151775.08709896728,0.015195369030390982
2010-10-27,69.99,70.15,69.4,70.0,843440,55.81400389992043,51.40562248995999,334264.798196245,-0.002138275124732747
2010-10-28,70.53,70.8,69.5,70.03,303760,56.003183782686875,52.61044176706847,360688.72632659227,0.0004285714285714448
2010-10-29,69.8,70.2,69.59,70.2,292530,57.12345313158652,59.43775100401635,431786.3581684083,0.002427531058117882
2010-11-01,70.4,71.0,70.06,71.0,248431,62.023916287439526,91.56626506024121,500664.6749974787,0.01139601139601143
2010-11-03,71.0,71.45,70.74,71.3,560009,63.699425338259765,100.0,586222.5774329044,0.004225352112676051
2010-11-04,71.56,72.4,71.56,72.4,316089,69.08531594671217,100.0,668504.348662585,0.015427769985974837
2010-11-05,71.46,72.39,71.46,71.9,129111,64.40750660012509,86.4130434782609,639183.3069558442,-0.006906077348066253
2010-11-08,71.74,72.12,71.68,72.01,278937,64.96947357889391,89.40217391304348,613457.1028980091,0.0015299026425590334
2010-11-09,72.2,72.29,70.91,70.91,231412,55.5278268915945,59.51086956521722,473532.8282472603,-0.015275656158866946
2010-11-10,70.85,71.16,70.22,71.07,184662,56.51766291745396,63.85869565217364,420747.5651597269,0.0022563813284444123
2010-11-11,70.75,70.75,70.23,70.39,235099,51.29247216472049,45.38043478260866,332132.95860240236,-0.009568031518221387
2010-11-12,69.7,70.18,69.21,69.64,376619,46.21720754895949,16.3636363636365,252098.27795881778,-0.010654922574229286
2010-11-16,69.2,69.4,67.88,68.28,896361,38.73296099622672,0.0,61341.32113468647,-0.019529006318207864
2010-11-17,68.61,69.49,68.4,69.49,481568,46.962222226266306,29.368932038834767,130954.08233075589,0.017721148213239557
2010-11-18,69.7,70.39,69.5,70.0,572051,50.01002173170036,41.74757281553391,170023.5011577122,0.007339185494315892
2010-11-19,69.5,70.3,69.5,70.3,944197,51.7658867855168,49.029126213592086,470976.0814816728,0.004285714285714226
2010-11-22,70.3,70.4,68.45,68.99,426206,44.42758427293756,17.233009708737693,490773.6695214659,-0.018634423897581853
2010-11-23,68.3,68.3,66.99,67.34,465092,37.26250040021687,0.0,385348.39918291196,-0.023916509639077987
2010-11-24,68.0,68.99,67.5,68.99,375712,46.54639611742967,32.60869565217373,426732.93411869556,0.024502524502524325
2010-11-25,68.99,69.01,68.53,68.53,159659,44.56637889991033,25.481798715203368,354068.4771270864,-0.006667632990288386
2010-11-26,67.51,68.16,67.48,67.6,403792,40.788640057660906,5.567451820128283,209020.4179237783,-0.013570698963957462
2010-11-29,67.05,67.69,66.4,67.33,330209,39.73554102742807,0.0,177105.45190567523,-0.003994082840236612
2010-11-30,67.49,67.8,66.5,67.0,632324,38.42957922223539,0.0,101519.44920055196,-0.00490123273429377
2010-12-01,67.97,68.87,67.97,68.75,449077,48.159877549850286,51.62241887905604,166153.49513628334,0.026119402985074647
2010-12-02,69.0,69.19,68.41,68.77,266823,48.26051341381853,53.63636363636356,170959.1996850185,0.00029090909090911943
2010-12-03,68.77,69.25,68.06,69.11,336281,50.03623755996585,63.93939393939397,239205.80665471405,0.00494401628617136
2010-12-06,69.0,69.15,68.59,68.6,134070,47.40790628162903,48.48484848484836,204243.77708279714,-0.007379539863984985
2010-12-07,69.5,69.82,68.76,68.8,285950,48.54928912494373,54.54545454545451,87256.14545622468,0.00291545189504383
2010-12-08,68.8,69.29,67.33,67.35,403594,41.51474519412971,10.606060606060442,-94330.34044547006,-0.02107558139534893
2010-12-09,67.52,67.84,66.84,67.22,261285,40.94197307095617,10.426540284360138,-179992.90827384964,-0.0019302152932442196
2010-12-10,67.6,67.89,67.18,67.89,269171,45.142750379560475,42.180094786729896,-113028.37617874518,0.009967271645343612
2010-12-13,68.31,68.7,68.09,68.7,265722,49.79234963398929,80.56872037914708,9189.421149142087,0.011931064958020432
2010-12-14,68.2,68.43,67.76,68.09,518530,46.58975880944009,51.65876777251203,55889.71921883151,-0.00887918486171757
2010-12-15,67.6,67.73,66.9,66.9,822625,41.04366986769228,0.0,-191830.81513618305,-0.017476868850051397
2010-12-16,67.29,67.6,66.36,66.45,1129772,39.145944430754994,0.0,-583023.2264948413,-0.006726457399103158
2010-12-17,66.45,67.28,66.2,67.26,443023,44.15153816141941,30.451127819548994,-554313.3203154355,0.012189616252821667
2010-12-20,67.6,67.6,66.62,66.7,553288,41.60362326548758,9.398496240601515,-639480.1867198572,-0.008325899494499023
